#Background,#Icon,#NumberText,#CardText
background/front-white.png,icon/icon-PAX.png,20 / 44,A homemade, cum-stained Star Trek uniform.
background/front-white.png,icon/icon-PAX.png,21 / 44,Unlocking a new sex position.
background/front-white.png,icon/icon-PAX.png,22 / 44,The boner hatch in the Iron Man suit.
background/front-white.png,icon/icon-PAX.png,23 / 44,Never watching, discussing, or thinking about My Little Pony.
background/front-white.png,icon/icon-PAX.png,24 / 44,Turn-of-the-century sky racists.
background/front-white.png,icon/icon-PAX.png,25 / 44,The decade of legal inquests following a single hour of Grand Theft Auto.
background/front-white.png,icon/icon-PAX.png,26 / 44,A fully-dressed female videogame character.
background/front-white.png,icon/icon-PAX.png,27 / 44,Buying virtual clothes for a Sim family instead of real clothes for a real family.
background/front-white.png,icon/icon-PAX.png,28 / 44,Google Glass + e-cigarette: Ultimate Combo!
background/front-white.png,icon/icon-PAX.png,29 / 44,Tapping Serra Angel.
background/front-white.png,icon/icon-PAX.png,30 / 44,Charles Barkley Shut Up and Jam!
background/front-white.png,icon/icon-PAX.png,31 / 44,Legendary Creature - Robert Khoo.
background/front-white.png,icon/icon-PAX.png,32 / 44,Winning the approval of Cooking Mama that you never got from actual mama.
background/front-white.png,icon/icon-PAX.png,33 / 44,Eating a pizza that's lying in the street to gain health.
background/front-white.png,icon/icon-PAX.png,34 / 44,Getting into a situation with an owlbear.
background/front-white.png,icon/icon-PAX.png,35 / 44,Grand Theft Auto: Fort Lauderdale.
background/front-white.png,icon/icon-PAX.png,36 / 44,A madman who lives in a policebox and kidnaps women.
background/front-white.png,icon/icon-PAX.png,37 / 44,SNES cartridge cleaning fluid.
background/front-black.png,icon/icon-PAX.png,38 / 44,The most controversial game at PAX this year is an 8-bit indie platformer about ______.
background/front-black.png,icon/icon-PAX.png,39 / 44,What made Spock cry?
background/front-black.png,icon/icon-PAX.png,40 / 44,______: Achievement unlocked.
background/front-black.png,icon/icon-PAX.png,41 / 44,There was a riot at the Gearbox panel when they gave the attendees ______.
background/front-black.png,icon/icon-PAX.png,42 / 44,In the new DLC for Mass Effect, Shepard must save the galaxy from ______.
background/front-black.png,icon/icon-PAX.png,43 / 44,What's the latest bullshit that's troubling this quaint fantasy town?
background/front-black.png,icon/icon-PAX.png,44 / 44,No Enforcer wants to manage the panel on ______.
